term	def
بُستان،بَساتين	orchard, vegetable garden, kindergarten
بُستان،بَساتين	orchard
بُستران	protestants
بِستون،بَساتَن	piston
بَستوني	spades (playing cards)
بْسُرعة	quickly
بَسطة	stall (in a market etc)
بَسيط	simple, small, insignificant, small quantity
بَسيط،بَسِيطين	simple
بَسيطة	insignifcant, no big deal
بُشار	popcorn
بِشارة	good news, gospel
بَشَر	human being
بَشَرة	complexion
بُشرة	good news
بَشَري	human (adj)
بَشَرِيّة	humankind
بِشَع	ugly
بَشكير	towel
بَصّار،بَصّارة،بَصّارين،بَصّارات	fortune teller, seer
بَصَر	sight
بَصَل	onions
بَصَلة	an onion
بَصمة	fingerprint
بَصير	clear sighted, far sighted, one of God's names
بَصيص	glimmer, glow
بضاعة،بَضايَع،بَضائَع	merchandise, goods
بَضغَط/بِكبَس عَلى أَيكُن،بتِتكَبَّر	I click on an icon and it gets bigger
بَطّ	ducks
بِطاقة	card, ticket, label
بَطالة	unemployment
بطانة	lining (of a garment)
بَطّانِيّة	blanket
بَطّة	a duck
بَطرَك،بَطاركة	patriarch
بَطرُن	pimp
بَطَّل	worthless, unimportant
بَطَل،أَبطال	hero, champion
بَطن،بطون	belly, stomach, abdomen
بَطَن،بُطون	stomach
بُطولة	heroism
بَطون	concrete (?)
بُطُئ	slowness
بَطّيخ	watermelons
بَطّيخة	a watermelon
بُعُد	distance, dimension, aspect
بَعْد الضُهْر	afternoon
بَعْدين	afterward
بَعَر	droppings, dung
بَعزَق/بَعزَقجي	he wasted / wasteful, spendthrift
بَعسة/بَعثة	delegation, deputation
بَعشة	unpleasantness, frustration, disappointment, difficulty
بَعْض	other
بَقاء	survival, existence
بَقّال،بَقّالين	grocer
بَقّال،بَقَّالة\بَقّالين	grocer, grocery store
بَقالة	grocery/groceries
بَقبوشة،بَقابيش	blister
بُقجة،بُقَج	bundle
بَقدونَس	parsely
بَقَرة،بَقَر	cattle, cows
بَقَرة،بَقَر\بَقَرات	cow
بُقعة،بُقَع	stain, puddle, patch, blot
بقول	edible plants
بَقِيّة	remainder, rest, remnant
بِكار،بِكارات،بِياكير	compasses, a pair of compasses (for drawing a circle)
بَكارة	virginity
بُكة،بِكة	crying
بِكر	firstborn, eldest, virgin
بُكرة	tomorrow
بَكَرة	reel (of film, tape), spool, bobbin (of thread), coil
بُكْرة	tomorrow
بُكس	punch (fist)
بُكس،بُكسة،بُكسات،بكوسة	box, crate
بُكْسة،بُكاس	box
بِكَفّي	enough
بَكَكس،بَكَكسات	rear axle (from english)
بَكورة،بَواكير	pulley
بَكّير	early
بَكّير\مْبَكِّر،بَكّيرة\مْبَكِّرة،مْبَكِّرين	early
بَلا	without
بَلا،بِدون	without
بَلاش	nothing, free (no cost), nevermind
بَلاش	don't
بَلَّاط،بَلَّاطة،بَلَّاطين	tiler, flooring-tile-layer
بَلاطة،بَلاطات،بَلاط	tile(s)
بَلاغة	eloquence, rhetoric
بُلبُل،بَلابَل	nightingale, spinning top, fluent
بَلَة	moistening, wetting
بَلجيكا	Belgium
بَلَح	dates
بَلَد،بْلاد	country
بَلَد،بُلدان\بْلاد	country
بَلَدي	local, traditional
بَلَديّة،بَلَديّات	municipality
بَلغَم	phlegm
بَلكون،بَلَكين،بَلكونات	balcony
بَلكي	perhaps
بَلكي،بَلكَن	maybe
بُلَندا،بُلونيا	poland
بَلّوط	oak(s), acorn(s)
بَلّوعة	drain, drainpipe, sewer
بَلون،بَلالين	balloon, large round or cylinder container, bubble
بِلّي	in what, with what
بُليصة،بَوالَص	(insurance) policy
بَلّيط،بَلّيطاء	tiler, flooring-tile-layer
بَليغ،بَليغة،بُلَغاء	eloquent
بِنّ،بَنّ،بُنّ	coffee beans, ground coffee
بَنّا،بَنّاي	builder
بَنّاء،بَنّاءة	constructive
بنادمين	human beings, people
بنْت،بَنات	daughter
بِنت/إِبن وَحيد	only child
بِنتيْنَك	your two girls (wrong)
بَنج	anasthetic, narcotic
بَنجَر	beetroot
بَند،بُنود	paragraph, clause
بُندُق	hazelnuts
بَندوق،بَناديق	bastard, illegitimate child
بُنصُر	ring finger
بَنصَر،بُنصُر	ring finger
بَنْضورة،بَنْضَورات	tomato
بَنْطَلون،بَنطَلونات	pants
بَنَفسَجة،بَنَفسَج	violet (flower)
بَنَفسَجي	purple
بَنَفسَجي،عِنّابي	purple
بَنك،بنوك	bench, bank
بَنّورة،بَنانير	marble
بُنى	building, constructing
بَنّى،بَنّاي	builder
بِنّي	brown
بهار	spice
بَهائي	Bahai
بَهجة	splendour, glamour
بَهدَلة	humiliation, abuse
بَهلَوان،بَهلَوانِيّة،بَهلَوانات	acrobat, tightrope walker
بَهلَوانِيّات	acrobatics, acrobatic stunts
بَوّاب،بَوّابين	doorman, gatekeeper
بَوّابة،بَوّابات	gate, large door, double door
بِوافقَك	I agree with you
بوجِيّة	spark plug (from french)
بودرة	powder
بوز	muzzle, snout
بُوسة	kiss
بوسطة	post, mail, post office
بوسطَجي	postman
بوصَلة	compass
بوط	boots (high boots with laces)
بوظة	ice cream
بوفَيه	snack bar, dresser
بوق،أَبواق	trumpet
بَول	urine
بُول	stamp(s)
بولَيت	ticket
بومة،بوم	owl
بوية	shoe polish, paint, paintwork
بويَجي	shoe shiner
بُوَيضة	egg, ovum, ovule
بَياض	white (noun), whiteness, sheep
بَيّاع،بَيّاعين	salesman, merchant, dealer
بيّاع،بيّاعين	seller, salesperson, vendor
بَيان،بَيانات	announcement, communique, declaration
بيانو،بيانُوات،بيانُوات	piano
بَياني	explanitory, illustrative
بَيت،أَبيات	verse
بيت،بُيوت	house, home
بيِتعابَطوا	they hug each other, they embrace
بير،بيار،بيارا	well, cistern
بيرة	beer
بيرعاك؟	are you itchy? (does it itch you)
بَيضة،بَيض،بَيضات	egg, testicle
بيضة،بيض	egg
بَيطَري،طَبيب بَيطَري	vet
بيع	sale, selling
بيعاديني	he's hostile to me
بَيعة،بَيعات	transaction, deal
بيِكفَر وُجود الّا	he doesn't believe in God
بين	between
بيئة	environment, surroundings
تابَع	following
تابَع،أَتباع	follower
تابوت،تَوابيت	coffin, casket, the arc of the covenant
تأَبين	eulogy, commemoration
تَأَتأَئَ	stammer, stutter
تَأَثُّر	impression, influence
تأَثير	effect, influence, impression
تَأْثِير،تَأْثِيرَات	effect, influence, impression
تاج،تيجان	crown, pip (insignia of military rank on the shoulder of an officer's uniform)
تاجَر،تُجّار	trader, dealer, merchant
تاجِر،تاجْرة،تُجّار	trader, dealer, merchant
تأَجيل	delay, postponement, deferment
تأَحيل	training, rehabilitation
تأَخير	lateness, tardiness, delay
تاريخ	history
تاريخ،تَواريخ	date, history
تاريخي	historical, historic
تازا/طازا	fresh (masc or fem)
تاسَع	ninth
تأَسيس	founding, foundation, establishment
تأَشيرة	visa
تافَه/تافهة	trivial, worthless
تأَكيد	confirmation, assurance
تالَت/تلاتة	third
تالولة،تَواليل	corn (thickened skin on the foot)
تالي	next, following, subsequent
تأَليف	compisition, writing
تامّ	perfect, complete, total
تَأَمُّل	contemplation, meditation, consideration, reflection
تامَن	eighth
تأَميم	nationalizaton
تأَمين	insurance
تَأَنّي	slowness, deliberateness
تاني	second, another, other, different, else
تانِيًا	secondly
تَبادُل	exchange, substitute, swap
تَباطو	slowing down, liesureliness
تباوَسوا	they kissed each other
تَبجيل	respecting, praising
تَبَخُّر	evaporation
تَبخير	censing, burning incense
تَبَرُّع	volunteering, contribution, donation
تَبسيمة،تَباشيم	rivet, stud
تَبشير	evangelism, missionary activity
تَبَع	belonging to, of
تَبَع\تاع	of, belonging to
تَبَعِيّة	dependence
تَبليغ	[official] announcement, notification
تِبَن	straw
تَبَنّي	adoption
تَبويل	urination
تَتخيطة	loft, attic
تَتَوُّع	voluntering
تَتَوُّعي	voluntary
تَتويج	crowning, coronation
تَثبيت	consolidation, stabilization, tenure
تِجاه	toward, towards
تَجاوُب	response (positive reaction)
تَجديد	renewal, innovation
تَجرِبة،تَجارِب	experiment, attempt, experience, trial, test
تَجرِبِة،تَجارِب،مُحاولة،مْحاوَلات	attempt
تَجَسُّس	espionage, spying
تَجعيد،تَجاعيد	wrinkle
تَجفيف	drying
تَجليدة،تَجاليد	cover (of book)
تَجَمُّع	assembling, gathering, collection, concentration
تَجميد	freeze
تَجميع	assembling, gathering
تَجميل	beautifying, beautification, cosmetics
تَجميلي	cosmetic
تَجنيد	enlistment, mobilization, recruitment
تَجَوُّل	touring, roaming, walking about
تَجويد	reading (from the Qur'an (according to established rules of pronounciation and intonation))
تَجويف،تَجاويف	hollow, cavity
تَحت	below
تَحَت/تَحت	below, under, beneath, underneath, downstairs
تَحتاني	lower, bottom
تَحَدّي	challenge, dare
تَحديد	defining, definition, limitation, limit, restriction
تَحَرّي	(undercover) police investigation, secret police
تَحرير	release, liberation, editing, editorial board
تَحَسُّن	(the undergoing of) improvement
تَحسين	(the causing of) improvement
تَحضير	preparation
تُحفة،تُحَف	rare/valuable object, museum piece
تَحَفُّظ	wariness, caution, reservation(s), misgiving(s)
تَحقيق	realization, implementation, fulfilment, accomplishment, carrying out, putting into practice, investigation, interrogation, lit. making something true / finding the truth
تَحَكُّم	control, dominion
تَحكيم	arbitration
تَحلِيّة	sweetening
تَحليل	analysis
تَحميل	charging, loading
تَحميلة،تَحاميل	suppository
تَحنيط	taxidermy, stuffing
تَحَوُّل	transformation, change
تَحِيّة	greetings, regards, best wishes
تَحَيُّز	partiality, bias, taking sides
تَخَت،تخوت/تخوتة	bed
تَخَرُّج	graduation
تَخريب	destruction, sabotage
تَخزين	storage (computer), storing
تَخَصُّص	specialization
تَخطيط	planning, drawing, sketching
تَخفيض	reduction
تَخفيف	lightening, easing, reduction, relief
تَخلاي	dessert, sweet, pudding (sweetening)
تَخَلُّف	backwardness, retardation
تَخليد	perpetuation, immortalization
تُخْن،تُخْنة	thickness (round and long)
تُخُن/تُخَن	thickness, diameter, gauge
تَخويت،تَخويتات	nonsense, rubbish
تَخويف	intimidation, terrorization
تَخَيُّل	imagining, illusion, fancy
تَخَيُّلات	imaginings
تخين،تخان	thick (esp. elongated tubular objects)
تْخين،تْخينة،تْخان	thick (round & long)
تَدبير،تَدابير	arrangement
تَدَخُّل	interference, meddling
تَدخين	smoking
تَدريب	training, drilling
تَدريج	graduation, gradualness
تَدريس	teaching
تَدريعة	burping, belching
تِدشاية	belching
تَدفِئة	heating
تَدقيق	accuracy, precision, meticulousness
تَدنيس	desecration
تَدَهوُر	deterioration
تَدويل	internationalization
تراب	earth, soil, dirt, dust
تَراجُع	withdrawal, retreat
تَراويح	special prayers said after the evening prayer in Ramadan
تِرباية	bringing up children, upbringing, education (of children within family), breeding
تُربة	soil, earth, dirt, cemetery
تَربَوي	educational
تَربِية	education
تَرْبِية،تِرْباي\تِرباية	upbringing
تَربيعة،تَرابيع	check (in a pattern)
تَرتيب	order
تَرتيل،تَراتيل	chanting, hymn-singing, a style of Qur'anic recital
تُرجمان	interpreter
تَرجَمة	translation
تَرخيص	authorization, licensing, reduction (in price)
تَرَدُّد	hesitation
تِرس،تروس	shield
تَرشيح	canditature, candidac
تَرضِية	compensation, consolation
تَرَف	luxury, affluence
تَرفيه	recreation, entertainment, fun
تَرفيهي	recreational, entertaining, fun
تِرقاية/تَرقِية	promotion
تَرك	leaving (vn)
ترَكّ	truck
تَركة/تِركة	legacy, bequest, inheritance
تَرَكني	he left me
تُركي،أَتراك	Turkish, Turk
